date_file,County,Population,PCR_Positive_Tests,PCR_Positive_Percent,PCR_Total_Tests,Beds_Occupied_Total,Beds_Occupied_Percent,Beds_Available_Total,COVID_Total_Admissions,COVID_Susp_Admissions,COVID_Conf_Admissions
2020-12-17,"Miami-Dade County, FL",2716940,2827.332,0.126,157074,NA,NA,NA,NA,NA,NA
2020-12-17,"Broward County, FL",1952778,1185.8157142857144,0.11,75461,NA,NA,NA,NA,NA,NA
2020-12-17,"Duval County, FL",957755,342.612,0.093,25788,NA,NA,NA,NA,NA,NA
2020-12-17,"Palm Beach County, FL",1496770,490.4614285714286,0.09,38147,NA,NA,NA,NA,NA,NA
2020-12-18,"Miami-Dade County, FL",2716940,2802.146142857143,0.127,154449,NA,NA,NA,NA,NA,NA
2020-12-18,"Broward County, FL",1952778,1175.2045714285716,0.111,74112,NA,NA,NA,NA,NA,NA
2020-12-18,"Duval County, FL",957755,343.0992857142857,0.095,25281,NA,NA,NA,NA,NA,NA
2020-12-18,"Palm Beach County, FL",1496770,463.9442857142857,0.089,36490,NA,NA,NA,NA,NA,NA
2020-12-19,"Miami-Dade County, FL",2716940,3062.952,0.126,170164,NA,NA,NA,NA,NA,NA
2020-12-19,"Broward County, FL",1952778,1246.8354285714286,0.109,80072,NA,NA,NA,NA,NA,NA
2020-12-19,"Duval County, FL",957755,431.8377142857143,0.104,29066,NA,NA,NA,NA,NA,NA
2020-12-19,"Palm Beach County, FL",1496770,569.4537142857142,0.092,43328,NA,NA,NA,NA,NA,NA
2020-12-20,"Miami-Dade County, FL",2716940,2864.8478571428573,0.127,157905,NA,NA,NA,NA,NA,NA
2020-12-20,"Broward County, FL",1952778,1208.864,0.112,75554,NA,NA,NA,NA,NA,NA
2020-12-20,"Duval County, FL",957755,394.7245714285714,0.104,26568,NA,NA,NA,NA,NA,NA
2020-12-20,"Palm Beach County, FL",1496770,506.78085714285714,0.094,37739,NA,NA,NA,NA,NA,NA
2020-12-21,"Miami-Dade County, FL",2716940,2814.6228571428574,0.124,158890,NA,NA,NA,NA,NA,NA
2020-12-21,"Broward County, FL",1952778,1200.288,0.112,75018,NA,NA,NA,NA,NA,NA
2020-12-21,"Duval County, FL",957755,393.40842857142854,0.107,25737,NA,NA,NA,NA,NA,NA
2020-12-21,"Palm Beach County, FL",1496770,488.1914285714286,0.095,35972,NA,NA,NA,NA,NA,NA
2020-12-22,"Miami-Dade County, FL",2716940,2696.078,0.122,154693,NA,NA,NA,NA,NA,NA
2020-12-22,"Broward County, FL",1952778,1148.9502857142857,0.108,74469,NA,NA,NA,NA,NA,NA
2020-12-22,"Duval County, FL",957755,390.50999999999993,0.105,26034,NA,NA,NA,NA,NA,NA
2020-12-22,"Palm Beach County, FL",1496770,453.33599999999996,0.091,34872,NA,NA,NA,NA,NA,NA
2020-12-23,"Miami-Dade County, FL",2716940,2838.2624285714287,0.121,164197,NA,NA,NA,NA,NA,NA
2020-12-23,"Broward County, FL",1952778,1252.6642857142856,0.107,81950,NA,NA,NA,NA,NA,NA
2020-12-23,"Duval County, FL",957755,425.1668571428571,0.104,28617,NA,NA,NA,NA,NA,NA
2020-12-23,"Palm Beach County, FL",1496770,514.1185714285714,0.09,39987,NA,NA,NA,NA,NA,NA
2020-12-26,"Miami-Dade County, FL",2716940,2863.664285714286,0.115,174310,NA,NA,NA,NA,NA,NA
2020-12-26,"Broward County, FL",1952778,1221.9268571428572,0.101,84688,NA,NA,NA,NA,NA,NA
2020-12-26,"Duval County, FL",957755,420.9112857142857,0.109,27031,NA,NA,NA,NA,NA,NA
2020-12-26,"Palm Beach County, FL",1496770,500.5007142857143,0.095,36879,NA,NA,NA,NA,NA,NA
2020-12-27,"Miami-Dade County, FL",2716940,2938.254428571429,0.117,175793,NA,NA,NA,NA,NA,NA
2020-12-27,"Broward County, FL",1952778,1263.8714285714286,0.1,88471,NA,NA,NA,NA,NA,NA
2020-12-27,"Duval County, FL",957755,448.76185714285714,0.117,26849,NA,NA,NA,NA,NA,NA
2020-12-27,"Palm Beach County, FL",1496770,502.63142857142856,0.095,37036,NA,NA,NA,NA,NA,NA
2020-12-28,"Miami-Dade County, FL",2716940,2849.573142857143,0.116,171957,NA,NA,NA,NA,NA,NA
2020-12-28,"Broward County, FL",1952778,1212.9904285714288,0.099,85767,NA,NA,NA,NA,NA,NA
2020-12-28,"Duval County, FL",957755,444.708,0.126,24706,NA,NA,NA,NA,NA,NA
2020-12-28,"Palm Beach County, FL",1496770,500.4057142857143,0.095,36872,NA,NA,NA,NA,NA,NA
2020-12-29,"Miami-Dade County, FL",2716940,2589.153142857143,0.116,156242,NA,NA,NA,NA,NA,NA
2020-12-29,"Broward County, FL",1952778,1127.5428571428572,0.1,78928,NA,NA,NA,NA,NA,NA
2020-12-29,"Palm Beach County, FL",1496770,487.8734285714286,0.094,36331,NA,NA,NA,NA,NA,NA
2020-12-29,"Duval County, FL",957755,437.47585714285714,0.129,23739,NA,NA,NA,NA,NA,NA
2020-12-30,"Miami-Dade County, FL",2716940,2704.592,0.121,156464,NA,NA,NA,NA,NA,NA
2020-12-30,"Broward County, FL",1952778,1096.8600000000001,0.101,76020,NA,NA,NA,NA,NA,NA
2020-12-30,"Duval County, FL",957755,427.82671428571433,0.127,23581,NA,NA,NA,NA,NA,NA
2020-12-30,"Palm Beach County, FL",1496770,504.014,0.098,36001,NA,NA,NA,NA,NA,NA
2021-01-02,"Miami-Dade County, FL",2716940,2771.710285714286,0.138,140594,NA,NA,NA,NA,NA,NA
2021-01-02,"Broward County, FL",1952778,1475.3594285714285,0.131,78836,NA,NA,NA,NA,NA,NA
